Rufeal angel_Baker_Kindly
Kezef angel_Builder_Fiersome
Ishim angel_Farmer_Artistic
Inias angel_Mayor_Proud
Dureal angel_Merchant_Simple
Barat angel_Musician_Shy
Tiel angel_Sailor_Comedic
Zophiel angel_Soldier_Serious
Grigori angel_Tailor_Wise
Natael angel_Teacher_Dasdardly

Sabaoth devil_Baker_Artistic
Briggemig devil_Builder_Dasdardly
Kanodoth devil_Farmer_Serious
Brozgor devil_Mayor_Comedic
Thaz'gi devil_Merchant_Fiersome
Jorgik devil_Musician_Wise
Ungron devil_Sailor_Proud
Oran devil_Soldier_Simple
Tith'tox devil_Tailor_Shy
Vog'thom devil_Teacher_Kindly

G.Oremaster dwarf_Builder_Dasdardly
H.Hammerjaw dwarf_Tailor_Fiersome
D.Ashflayer dwarf_Baker_Artistic
S.Frostmaker dwarf_Farmer_Serious
G.Dimborn dwarf_Merchant_Shy
T.Outview dwarf_Sailor_Kindly
Y.Warmmaul dwarf_Soldier_Simple
T.Dimborn dwarf_Mayor_Proud
G.Mountaingrog dwarf_Musician_Comedic
D.Twilightshield dwarf_Teacher_Wise

Conall elf_Baker_Wise
Elisen elf_Builder_Shy
Nueleth elf_Farmer_Artistic
Sazyre elf_Mayor_Serious
Hamon elf_Merchant_Simple
Sadira elf_Musician_Proud
Yesanith elf_Sailor_Fiersome
Erendriel elf_Soldier_Comedic
Alosrin elf_Tailor_Dasdardly
Sinaht elf_Teacher_Kindly

Spidergriddle fairy_Musician_Fiersome
Candleclover fairy_Farmer_Simple
Gemdash fairy_Merchant_Kindly
Cozypuff fairy_Soldier_Artistic
Orangehop fairy_Sailor_Serious
Honeyvalley fairy_Comedic_Mayor
Leafflip fairy_Tailor_Wise
Carrotshine fairy_Teacher_Shy
Rainwood fairy_Builder_Dasdardly
Vanilladash fairy_Baker_Proud

Stormbane minotaur_Sailor_Wise
Swiftbody minotaur_Builder_Shy
Braveheart minotaur_Baker_Fiersome
Keenpelt minotaur_Merchant_Dasdardly
Steadyhorn minotaur_Mayor_Simple
Stoutvigor minotaur_Tailor_Serious
Truthpelt minotaur_Farmer_Artistic
Nimblehorns minotaur_Musician_Proud
Heavyleader minotaur_Teacher_Comedic
Rockfighter minotaur_Soldier_Kindly

Zlog orc_Baker_Proud
Tozhug orc_Builder_Simple
Farghed orc_Farmer_Comedic
Bagamul orc_Mayor_Shy
Xugar orc_Merchant_Artistic
Sogugh orc_Musician_Wise
Burul orc_Sailor_Kindly
Uraugh orc_Soldier_Serious
Vubub orc_Teacher_Fiersome
Durbul orc_Tailor_Dasdardly

Kragen vampire_Baker_Kindly
Saxon vampire_Builder_Artistic
Bartholomew vampire_Farmer_Wise
Erasmus vampire_Mayor_Shy
Orien vampire_Merchant_Dasdardly
Vladimir vampire_Musician_Simple
Horace vampire_Sailor_Comedic
Merlin vampire_Soldier_Proud
Deverell vampire_Tailor_Serious
Zadimus vampire_Teacher_Fiersome

Ronric werewolf_Baker_Shy
Bodford werewolf_Builder_Comedic
Zeeb werewolf_Farmer_Wise
Sam werewolf_Mayor_Kindly
Trmon werewolf_Merchant_Simple
Alan werewolf_Musician_Artistic
Lucian werewolf_Sailor_Dasdardly
Ronnet werewolf_Soldier_Proud
Owain werewolf_Tailor_Serious
Nicholas werewolf_Teacher_Fiersome

Madheart undead_Baker_Serious
Hans-Jorg undead_Builder_Kindly
Carlos undead_Mayor_Proud
Devante undead_Farmer_Simple
Matthieu undead_Merchant_Comedic
Chase undead_Musician_Fiersome
Redgrave undead_Sailor_Dasdardly
Mansfield undead_Soldier_Wise
Lenard undead_Tailor_Shy
Fulton undead_Teacher_Artistic
